a,b
-3.4,57.21147537231445
-3.35,57.190277099609375
-3.3,57.170188903808594
-3.25,57.15145492553711
-3.2,57.13383865356445
-3.15,57.114986419677734
-3.1,57.093868255615234
-3.05,57.07334899902344
-3.0,57.05233383178711
-2.95,57.0295524597168
-2.9,57.002525329589844
-2.85,56.97023010253906
-2.8,56.93524932861328
-2.75,56.896095275878906
-2.7,56.857032775878906
-2.65,56.81752395629883
-2.6,56.774559020996094
-2.55,56.71825408935547
-2.5,56.64380645751953
-2.45,56.590702056884766
-2.4,56.543296813964844
-2.35,56.49235534667969
-2.3,56.43416213989258
-2.25,56.34267807006836
-2.2,56.28569030761719
-2.15,56.23667526245117
-2.1,56.18471908569336
-2.05,56.13272476196289
-2.0,56.080257415771484
-1.95,56.02851104736328
-1.9,55.97410202026367
-1.85,55.91665267944336
-1.8,55.85493087768555
-1.75,55.77275085449219
-1.7,55.67750930786133
-1.65,55.595420837402344
-1.6,55.50550842285156
-1.55,55.455806732177734
-1.5,55.44929122924805
-1.45,55.42983627319336
-1.4,55.38783645629883
-1.35,55.34267044067383
-1.3,55.29887390136719
-1.25,55.255409240722656
-1.2,55.210540771484375
-1.15,55.16392135620117
-1.1,55.108795166015625
-1.05,55.05164337158203
-1.0,54.995304107666016
-0.95,54.94037628173828
-0.9,54.881256103515625
-0.85,54.82533264160156
-0.8,54.766658782958984
-0.75,54.70515441894531
-0.7,54.645347595214844
-0.65,54.589500427246094
-0.6,54.53814697265625
-0.55,54.48902893066406
-0.5,54.44711685180664
-0.49,54.4393310546875
-0.48,54.431884765625
-0.47,54.42487716674805
-0.46,54.41797637939453
-0.45,54.410186767578125
-0.44,54.40031051635742
-0.43,54.38919448852539
-0.42,54.37815475463867
-0.41,54.36756896972656
-0.4,54.35746765136719
-0.39,54.34782409667969
-0.38,54.33852005004883
-0.37,54.329742431640625
-0.36,54.32167434692383
-0.35,54.314292907714844
-0.34,54.30702590942383
-0.33,54.299983978271484
-0.32,54.292354583740234
-0.31,54.28471755981445
-0.3,54.27730941772461
-0.29,54.27017593383789
-0.28,54.262508392333984
-0.27,54.25515365600586
-0.26,54.24822235107422
-0.25,54.24100875854492
-0.24,54.23434066772461
-0.23,54.22837829589844
-0.22,54.22299575805664
-0.21,54.21792984008789
-0.2,54.21274948120117
-0.19,54.207427978515625
-0.18,54.200321197509766
-0.17,54.19355010986328
-0.16,54.18699645996094
-0.15,54.1800651550293
-0.14,54.17282485961914
-0.13,54.16595458984375
