a,b
-10.0,67.5970230102539
-9.9,67.19987487792969
-9.8,66.81149291992188
-9.7,66.43706512451172
-9.6,66.03578186035156
-9.5,65.69890594482422
-9.4,65.34839630126953
-9.3,64.85971069335938
-9.2,64.54051971435547
-9.1,64.21917724609375
-9.0,63.91420364379883
-8.9,63.62041473388672
-8.8,63.30623245239258
-8.7,62.952613830566406
-8.6,62.66912841796875
-8.5,62.385780334472656
-8.4,62.10722351074219
-8.3,61.82988739013672
-8.2,61.55763626098633
-8.1,61.295249938964844
-8.0,61.04060745239258
-7.9,60.78681945800781
-7.8,60.52132034301758
-7.7,60.2721061706543
-7.6,60.05194091796875
-7.5,59.84020233154297
-7.4,59.63608169555664
-7.3,59.4391975402832
-7.2,59.24831771850586
-7.1,59.06166076660156
-7.0,58.87790298461914
-6.9,58.69684982299805
-6.8,58.521270751953125
-6.7,58.34538650512695
-6.6,58.096317291259766
-6.5,57.872955322265625
-6.4,57.73051834106445
-6.3,57.50699996948242
-6.2,57.430641174316406
-6.1,57.302093505859375
-6.0,57.148441314697266
-5.9,56.931758880615234
-5.8,56.798988342285156
-5.7,56.66149139404297
-5.6,56.5577507019043
-5.5,56.5372200012207
-5.4,56.34257125854492
-5.3,56.14140319824219
-5.2,56.06031036376953
-5.1,55.963497161865234
-5.0,55.86787796020508
-4.95,55.820980072021484
-4.9,55.77350997924805
-4.85,55.72644805908203
-4.8,55.68044662475586
-4.75,55.635704040527344
-4.7,55.591793060302734
-4.65,55.549163818359375
-4.6,55.5076789855957
-4.55,55.465736389160156
-4.5,55.421974182128906
-4.45,55.37815856933594
-4.4,55.33403015136719
-4.35,55.2943229675293
-4.3,55.25120162963867
-4.25,55.21135330200195
-4.2,55.17356491088867
-4.15,55.13547134399414
-4.1,55.09413528442383
-4.05,55.05250549316406
-4.0,55.01231002807617
-3.95,54.97654342651367
-3.9,54.94162368774414
-3.85,54.90890884399414
-3.8,54.87788391113281
-3.75,54.84846496582031
-3.7,54.820682525634766
-3.65,54.7934455871582
-3.6,54.76762390136719
-3.55,54.74545669555664
-3.5,54.721710205078125
-3.45,54.65207290649414
-3.4,54.62299728393555
-3.35,54.600379943847656
-3.3,54.577430725097656
-3.25,54.556026458740234
-3.2,54.53797149658203
-3.15,54.52469253540039
-3.1,54.51533508300781
-3.05,54.509159088134766
-3.0,54.4987678527832
-2.95,54.48471450805664
-2.9,54.4464225769043
-2.85,54.38689422607422
-2.8,54.37124252319336
-2.75,54.35837173461914
-2.7,54.35187911987305
-2.65,54.344276428222656
-2.6,54.331275939941406
-2.55,54.31136703491211
-2.5,54.22590637207031
-2.45,54.20281219482422
-2.4,54.16653060913086
-2.35,54.130863189697266
-2.3,54.095027923583984
-2.25,53.98396301269531
-2.2,53.96364974975586
-2.15,53.92556381225586
-2.1,53.88798522949219
-2.05,53.85191345214844
-2.0,53.8162727355957
-1.95,53.779945373535156
-1.9,53.74205780029297
-1.85,53.702335357666016
-1.8,53.66048049926758
-1.75,53.61843490600586
-1.7,53.57606506347656
-1.65,53.532318115234375
-1.6,53.48810577392578
-1.55,53.44449234008789
-1.5,53.399261474609375
-1.45,53.35190200805664
-1.4,53.303077697753906
-1.35,53.2571907043457
-1.3,53.211578369140625
-1.25,53.165592193603516
-1.2,53.11757278442383
-1.15,53.07048416137695
-1.1,53.0233268737793
-1.05,52.956504821777344
-1.0,52.9311408996582
-0.95,52.90835952758789
-0.9,52.85907745361328
-0.85,52.80598449707031
-0.8,52.74708938598633
-0.75,52.6890983581543
-0.7,52.633872985839844
-0.65,52.57023239135742
-0.6,52.50281524658203
-0.55,52.42079544067383
-0.5,52.33738708496094
-0.49,52.32011795043945
-0.48,52.30275344848633
-0.47,52.285396575927734
-0.46,52.26818084716797
-0.45,52.25099563598633
-0.44,52.23413848876953
-0.43,52.21760559082031
-0.42,52.2015495300293
-0.41,52.1859016418457
-0.4,52.17034912109375
-0.39,52.15544509887695
-0.38,52.1411247253418
-0.37,52.12704849243164
-0.36,52.11238098144531
-0.35,52.09764099121094
-0.34,52.08301544189453
-0.33,52.068580627441406
-0.32,52.0543212890625
-0.31,52.04008865356445
-0.3,52.02597427368164
-0.29,52.011653900146484
-0.28,51.99736404418945
-0.27,51.98310852050781
-0.26,51.954715728759766
-0.25,51.915218353271484
-0.24,51.87553787231445
-0.23,51.864192962646484
-0.22,51.85987091064453
-0.21,51.85264205932617
-0.2,51.84354782104492
-0.19,51.83224868774414
-0.18,51.8200569152832
-0.17,51.80752944946289
-0.16,51.795753479003906
-0.15,51.78504943847656
-0.14,51.775089263916016
-0.13,51.7658576965332
-0.12,51.757354736328125
-0.11,51.74964141845703
-0.1,51.74279022216797
-0.095,51.739566802978516
-0.09,51.73651885986328
-0.085,51.73350143432617
-0.08,51.73062515258789
-0.075,51.727848052978516
-0.07,51.725154876708984
-0.065,51.72216033935547
-0.06,51.719383239746094
-0.055,51.71675109863281
-0.05,51.71419143676758
-0.045,51.711795806884766
-0.04,51.709503173828125
-0.035,51.70740509033203
-0.03,51.705413818359375
-0.025,51.70346450805664
-0.02,51.70170593261719
-0.015,51.70013427734375
-0.01,51.698734283447266
-0.005,51.69744110107422
-0.0,51.69623947143555
0.0,51.69623947143555
0.005,51.6951789855957
0.01,51.69417190551758
0.015,51.693260192871094
0.02,51.69245147705078
0.025,51.69178771972656
0.03,51.691287994384766
0.035,51.69094467163086
0.04,51.6905403137207
0.045,51.69019317626953
0.05,51.6898193359375
0.055,51.689571380615234
0.06,51.68928146362305
0.065,51.68916320800781
0.07,51.689117431640625
0.075,51.68907928466797
0.08,51.68882369995117
0.085,51.68867874145508
0.09,51.68871307373047
0.095,51.688838958740234
0.1,51.689117431640625
0.11,51.690059661865234
0.12,51.69102478027344
0.13,51.692283630371094
0.14,51.693931579589844
0.15,51.69560241699219
0.16,51.69643783569336
0.17,51.69584655761719
0.18,51.69607162475586
0.19,51.69746017456055
0.2,51.699405670166016
0.21,51.70170974731445
0.22,51.703365325927734
0.23,51.70499038696289
0.24,51.708282470703125
0.25,51.712276458740234
0.26,51.71693420410156
0.27,51.72209548950195
0.28,51.727603912353516
0.29,51.732940673828125
0.3,51.73849868774414
0.31,51.74452590942383
0.32,51.75114440917969
0.33,51.75821304321289
0.34,51.76558303833008
0.35,51.773094177246094
0.36,51.781131744384766
0.37,51.78945541381836
0.38,51.798004150390625
0.39,51.806976318359375
0.4,51.81635284423828
0.41,51.82625198364258
0.42,51.836570739746094
0.43,51.847129821777344
0.44,51.85808563232422
0.45,51.86941909790039
0.46,51.881309509277344
0.47,51.893550872802734
0.48,51.905941009521484
0.49,51.91851806640625
0.5,51.931549072265625
0.55,51.999088287353516
0.6,52.07492446899414
0.65,52.16142654418945
0.7,52.2530517578125
0.75,52.343605041503906
0.8,52.44751739501953
0.85,52.53632354736328
0.9,52.60202407836914
0.95,52.658912658691406
1.0,52.73554229736328
1.05,52.834388732910156
1.1,52.921531677246094
1.15,52.98373031616211
1.2,53.033382415771484
1.25,53.08893966674805
1.3,53.15488815307617
1.35,53.22584533691406
1.4,53.2996940612793
1.45,53.38397216796875
1.5,53.47189712524414
1.55,53.49577331542969
1.6,53.56081008911133
1.65,53.62625503540039
1.7,53.69384765625
1.75,53.76011657714844
1.8,53.82502746582031
1.85,53.886940002441406
1.9,53.94795227050781
1.95,54.007118225097656
2.0,54.06493377685547
2.05,54.11795425415039
2.1,54.167877197265625
2.15,54.21870040893555
2.2,54.30438232421875
2.25,54.3160514831543
2.3,54.35063934326172
2.35,54.38959503173828
2.4,54.42580795288086
2.45,54.453678131103516
2.5,54.528411865234375
2.55,54.57865905761719
2.6,54.610107421875
2.65,54.635345458984375
2.7,54.668251037597656
2.75,54.69889450073242
2.8,54.727542877197266
2.85,54.758506774902344
2.9,54.78075408935547
2.95,54.80279541015625
3.0,54.820556640625
3.05,54.844425201416016
3.1,54.866539001464844
3.15,54.89199447631836
3.2,54.9207763671875
3.25,54.94606018066406
3.3,54.97160720825195
3.35,54.999820709228516
3.4,55.0339469909668
3.45,55.06300354003906
3.5,55.09612274169922
3.55,55.12065124511719
3.6,55.14692306518555
3.65,55.171573638916016
3.7,55.20000457763672
3.75,55.232643127441406
3.8,55.262168884277344
3.85,55.29520797729492
3.9,55.329322814941406
3.95,55.363094329833984
4.0,55.392356872558594
4.05,55.448307037353516
4.1,55.534156799316406
4.15,55.57955551147461
4.2,55.617103576660156
4.25,55.648902893066406
4.3,55.68018341064453
4.35,55.716400146484375
4.4,55.74711227416992
4.45,55.781700134277344
4.5,55.8202018737793
4.55,55.85835266113281
4.6,55.894718170166016
4.65,55.929725646972656
4.7,55.96352005004883
4.75,55.99665451049805
4.8,56.03098678588867
4.85,56.065940856933594
4.9,56.103370666503906
4.95,56.14352798461914
5.0,56.18613815307617
5.1,56.27613067626953
5.2,56.37303161621094
5.3,56.46205520629883
5.4,56.642520904541016
5.5,56.754207611083984
5.6,56.8661003112793
5.7,56.98402786254883
5.8,57.10238265991211
5.9,57.170257568359375
6.0,57.307254791259766
6.1,57.43648147583008
6.2,57.56682205200195
6.3,57.69285583496094
6.4,57.930335998535156
6.5,58.086036682128906
6.6,58.246620178222656
6.7,58.41474533081055
6.8,58.58714294433594
6.9,58.768367767333984
7.0,58.98844528198242
7.1,59.21445083618164
7.2,59.43416213989258
7.3,59.72549057006836
7.4,59.97837448120117
7.5,60.21872329711914
7.6,60.46269989013672
7.7,60.714542388916016
7.8,60.96861267089844
7.9,61.3070182800293
8.0,61.58387756347656
8.1,61.87232208251953
8.2,62.227622985839844
8.3,62.55259323120117
8.4,62.832950592041016
8.5,63.10816955566406
8.6,63.38092041015625
8.7,63.670753479003906
8.8,64.03612518310547
8.9,64.35301971435547
9.0,64.66839599609375
9.1,64.98723602294922
9.2,65.30606842041016
9.3,65.68333435058594
9.4,66.13510131835938
9.5,66.49435424804688
9.6,66.84432220458984
9.7,67.19393157958984
9.8,67.54122924804688
9.9,67.89287567138672
10.0,68.2494125366211
